"How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Rebellious]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Energetic]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Moody]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Curious]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Independent]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Social]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Impulsive]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Creative]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Confident]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Thoughtful]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Carefree]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Adventurous]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Inquisitive]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Emotional]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Restless]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Innovative]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Idealistic]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Opinionated]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Resourceful]","How to Play: Rate these words according to how well you think they describe teenagers, assigning a score from 5 (most fitting) to 1 (least fitting). [Influential]"
2,3,2,3,3,2,2,2,2,2,2,2,2,3,2,3,2,3,2,3
2,2,3,3,2,2,1,2,2,2,3,5,3,5,4,3,4,3,3,4
3,2,3,5,1,3,2,4,3,4,2,5,2,2,1,2,2,3,3,5
5,,5,5,5,5,4,5,5,5,5,5,3,5,2,4,3,4,4,4
3,4,5,5,2,3,3,2,3,3,3,4,2,4,1,5,3,1,3,1
3,4,4,5,2,3,3,5,3,4,3,3,4,4,2,2,2,3,4,2
4,3,5,4,3,3,5,3,3,2,4,4,3,5,5,5,4,2,1,3
3,3,4,3,2,3,2,3,3,2,1,4,3,4,4,3,2,3,1,3
1,4,5,5,4,4,5,5,2,2,1,5,3,5,5,4,5,5,5,4
2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,5,5,2,5,3,4,4,3,3,4,3,5,5,2,4,2,4,5
2,5,5,5,3,5,3,4,3,4,4,3,2,5,3,1,3,2,4,1
3,4,4,5,3,2,3,4,3,5,5,4,3,5,2,4,4,3,3,3
3,2,3,1,4,2,5,1,2,3,5,2,3,1,3,2,2,1,2,3
3,4,4,4,2,2,1,3,3,3,3,2,3,3,2,3,2,3,2,3
4,5,4,5,2,4,2,5,3,3,4,4,3,4,4,2,2,3,4,2
2,3,5,3,3,2,3,2,3,3,3,4,3,4,3,2,3,2,2,2
4,4,5,5,4,3,3,5,5,4,4,4,4,5,4,4,5,4,4,4
,5,,,,,,,,,,,,,,,,,,
2,3,3,3,4,3,3,4,2,3,2,4,3,4,4,4,4,4,3,4
4,3,4,3,2,3,4,3,3,2,4,3,2,4,4,3,3,2,3,4